time,weeks,group,place,name,format
08:20-09:50,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17",Мат Ан Прод 12.3,"1310 ауд. ул.Ломоносова, д.9, лит. М",Математический анализ (продвинутый уровень) (Прак),Очно - дистанционный
08:20-09:50,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17",Мат Ан Прод 12.3 GTL,"1310 ауд. ул.Ломоносова, д.9, лит. М",Математический анализ (продвинутый уровень) (Прак),Очно - дистанционный
10:00-11:30,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17",Мат Ан Прод 12.3,"1310 ауд. ул.Ломоносова, д.9, лит. М",Математический анализ (продвинутый уровень) (Прак),Очно - дистанционный
10:00-11:30,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17",Ф Мат Ан Прод 12.3,"1310 ауд. ул.Ломоносова, д.9, лит. М",Специальные разделы математического анализа (Прак),Очно - дистанционный
